text,Y
i ordered sets this is our first year for fleas and the victor machine is a killing machine within about or days the glue pad was black with fleas and the same with the replacement pad the bulb burnt out and victor customer service people were amazing thanks zack get the whole package ,1
i do not understand i just bought this last week at costco for do they promote this coffee in different stores at different times of the year it is amazing but it is not worth anywhere near or so dollars a bag ,1
i had received my venus fly traps a few days ago and could not review immediately after i got them because i had to go to a camp with my family when i opened the box i had received venus fly traps instead of they were all healthy and of them was pretty big i was emailed before i had received the vft and on the day i did i recommend this seller and will be sure to order more from them in the future i will upload a photo later and update this review ,1
i have been using this seasoning for years now and it is my go to seasoning like the other reviewer said it complements all meats and fish it also excellent for cooked greens but my favorite is to use it for making homemade salad dressing instead of buying over priced salad seasoning packs or premade dressings i too appreciate that it has no msg and it has no artificial ingredients thanks for keeping it real konriko ,1
once wine has been opened the flavor changes very quickly even when stoppered re corked the vacuvin winesaver does exactly what it is supposed to it preserves the flavor of the wine for a few days ,1
this ai not no bull this the best bbq sauce on the f n planet having moved away from kcmo my heart desired gates but none could be found then came the web and the world opened up and angels smiled and the people rejoiced and the most savory sauce fell from heaven into my hands and upon the land and this ai not no bull there is no sauce like this sauce it is simply the best in the world it is so good you can drink it from the bottle this sauce will change your life ,1
my little chi loves these he is so picky when it comes to snacks i get him all kinds of cookies and treats which he eats one and then turns his nose up but these he eats all the time and gets so excited when i pull out the bag i am ordering more ,1
this is a great tasting tea but has no nutritional value no matter it is palatable without sweetners and a treat with sugar hot cold half strength or double a variety of flavor experiences in the same box the mesh pryamid shaped bags make it brew up fast too just add hot water i have drank other lipton products including some of their other herbal teas it is a break from the run of the mill routine coffee and caffine free too the vanilla adds something to the blackberry base and the rose hips flavor it somewhat but i would not know hibiscus if it bit me i did not recognize the black current and raspberry flavors i am no gourmet all i can tell you is that i like this brew the remainder of this box will be very welcome on cold graveyard shifts i plan to add this tea to my shopping list the next time i am in the supermarket ,1
these are wonderful but you can get them at costco for jar but be careful as i truly believe they are addictive ,1
these are the best canned tomatoes i have tasted they have a fresh flavor similar to home canned they are a little more acidic bright and have a rounder flavor than other tomatoes comes with a basil leaf in each can ,1
my cat hates most of the friskies selections but to my amazement loves these seafood selections i think he likes the shreds of meat with covered in gravy part of it must taste good to him though wo not buy any other flavors of friskies now ,1
these cookies have a great crunch and terrific flavor the fruit tastes quite fresh and they are not too sweet i would like to try the other flavors as well i would definitely buy them again ,1
join the coffee club for free at nespresso and pay per capsule these capsules are each this price is rediculous ,0
only one problem they arrived packaging was not the best and they were stale still love them but wish i could get a reliable souce of this product on a regular basis and have them fresh ,1
i have not had a werther is candy for a long time so i bought the little box of sugar free had a couple and then read the ingredients which include acesulfame k look it up in my opinion it is poison worse than aspartame that companies use in diet soft drinks that affects the circulation of the brain i see more and more people reading the labels on products in the aisles of the supermarkets read the labels ,0
as a repeat customer to the peppermint and other amoretti products i am very impressed with the quality and customer service ,1
without question the best readily available canned tuna in olive oil for the price once you have eaten tuna in olive oil you will never to back to the wretched catfood that is referred to as tuna packed in water it is good enough to eat out of the can and great with capers and chopped onion on a salad btw those posters who complain that that genova was at one time italian sourced tuna are misinformed genova is simply the trade name used by chicken of the sea for its yellowfin tuna packed in olive oil packing in olive oil is the traditional method of preservation for mediterranean caught tuna it was once canned in american samoa but is now processed in thailand it has never been italian sourced ,1
this is the real deal not some watered down ghost pepper sauce found at local farmer is market i love spicy food and add a few drops to my own sauces salsas to bring them up to a level that most people have never experienced its become somewhat of an addiction for myself and i love the stuff however you may want to give clear warning to guests if your serving it up at a friends and family get together otherwise you may not have anymore friends or family a bottle of this stuff should last a year or two as just a dab will do ,1
i used to spend a fortune on good chai tea at the coffee shop then i discovered the double spice tea we both loved the stronger flavor of the spices to my dismay on my next trip to the grocery store the double spice tea was nowhere to be found it was one of those items that apparently was not on their regular ordering schedule i looked it up on amazon and there it was six boxes at a time on subscribe and save a decent price and quick delivery this tea is great with a sweetener of choice i generally use stevia or agave in mine and some milk or cream hot or cold my hubbie drinks it with no additions at all and it is his pre sleep tea of choice i have also used bags in my iced tea maker and the result is yummy iced tea or add just a bag of this tea to regular tea for a hint of spice stash teas are great overall i like the fact that they are individually wrapped in a foil wrap that holds together well and can be taken to the office or wherever without dissolving in one is pocket or purse it is black tea and contains caffeine if this is a problem try the good earth original caffeine free tea also available on amazaon it is a delicious slightly sweet cinnamon y tea ,1
a good shampoo that cleans and protects your hair at the same time i recommend this shampoo and it is companion conditioner good products for hair care i rate clear scalp hair beauty total care nourishing shampoo fluid stars ,1
other reviews said the packaging was inadequate broken or not air tight that was not my experience arrived in good condition i checked every bottle for a proper seal the sauce is very good compared to store brands and the price is reasonable considering the quality ,1
if you are cooking for two i suggest using only half of the coconut and curry sauce packets the biggest headache was trying to figure out what the heck is half of a cup of water clearly the instructions are british in terms of measurements i guessed that halving it amounts to just under a cup of water as for meat i had a nearly lb package of beef i did not want to end up with too much sauce and not enough meat which some reviewers here seemed to have gotten stuck with if you want to make sure the coconut powder melts make sure your saucepan is very hot i did this by first stir frying some vegetables onions mushrooms whatever using a non stick cooking spray less fat then used that same pan to fry the meat this time adding veggie oil once the meat was almost done i put it aside and the poured the coconut and water together since the pan was already very hot from frying the meat and the veggies the coconut powder melted easily with the water no grains left whatsoever i added the paste and it did not take long to boil then i poured the veggies and meat into the sauce and mixed it up together tip some reviewers have commented that the paste sticks to the inside of the foil packet for the stuck paste i used a narrow silicone spatula the kind you use for frosting cakes it removed a lot of it easily and cleanly the rice was done and so i just added it all together it was not as spicy as i hoped it would be which i fear may be due to my adding too much water still it had lots of complex flavors in it the package says to use any leftover sauce packets within days so i look forward to making another meal out of it pretty soon either way the taste was very pleasing and i would buy it again ,1
this is a chips ahoy flavor called ooey gooey chocofudge so it should already be pretty clear from the get go who is going to love this and who is not the cookies are soft but do not fall apart or dissolve in your mouth they are definitely gooey but not overly messy obviously they are not going to beat homemade fudge cookies fresh out of the oven but for a packaged treat in the goodie aisle of the supermarket these are pretty tasty and well worth the purchase add a little milk and you are in for a seriously good time ,1
i use this as a hot oil treatment before i shampoo my hair it is awesome it is make my hair soft strong and shiny i place tsp in a bowl then place the bowl in hot water to heat it up then i apply it to my hair afterwards i cover with a plastic cap and satin scarf bonnet for hrs rinse then shampoo i also add it to my deep conditioners and use it to seal in my moisturizers daily,1
this is a wonderful full bodied tea i will never buy teabags again but having been a teabag drinker all my life i did not realize how diluted it was until i tried loose tea i would recommend using much less tea than their instructions say i make it in a coffee maker which i use exclusively for tea and use teaspoons blended with a teaspoon of blackcurrant tea per cups following their instructions resulted in a tea that was bitter experiment till you find the proportions that suit you it is well worth the experimentation i drink as iced tea and when drinking hot cream perfectly complements it ,1
i purchased the peanut butter co peanut butter white chocolate wonderful jars pack of by peanut butter co directly from amazon in july the expiration date stated jan which is plenty of time to go through jars of this tasty peanut butter the listed ingredients are as follows peanuts evaporated cane juice vanilla cocoa butter palm fruit oil lecithin from sunflowers salt the packaging also states that it is gluten free and certified vegan this product does not require mixing as some of the more natural peanut butters sometimes do while i personally can not discern any white chocolate flavor it is a very enjoyable peanut butter ,1
i really like the taste just a touch of salt but they are more chewy then i would like the gustaf is rounds are a little better ,1
this creamer helped me save my coffee from tasting so off i definately recomend the saver pack it is helped me satify some avid coffee drinkers ,1
i first picked this off the shelf at a military commissary in kansas one summer and i never stopped the first time you try this stuff it is like wine or avocados it is a taste that is certainly acquired and like nothing else i have fed it to a friend and to my significant other few like it the first time but you find yourself strangely coming back for more until it is a staple in your house like it is in mine kind of reminds me of sushi first time i tried it i was like this is odd why do people eat this then i found myself craving it a week later haha now i love sushi and miso by the way it comes in an envelope with individual packets mix it in hot water to taste you might like it with more or less water depending on how salty you like your food experiment with it to your satisfaction and i guarantee there is much of that to be had i usually add all little individual packets it is low fat to a decent sized cup of hot water add my favorite vinegar and let it sit and cure for a minute or so since the little green sea vegetable flakes and green onions tofu squares need time to rehydrate and turn a little chewy and palatable i then sip it and fish the sea vegetables out to my heart is content i also hear that miso can be generally healthy for you if you let it sit the miso will start to separate from the rest of the soup and you have delightful little clouds of miso particles floating in your bowl which is sort of entertaining and visually delightful too i think of it as cheap delicious entertainment but then again i am easily amused ,1
i have purchased a few of the enjoy life faux cookie products and although the price and quantity were hard to digest i thought the taste was more than tolerable i returned the faux granola because it was too hard a bowl of pebbles literally but it may have been on the store shelf too long btw you can not see inside the package or any other enjoy life package for that matter then the perky is rice crunch i purchased and enjoyed for months changed the label had the enjoy life logo on it and ounces less product at a higher price okay the times they are a changin and i moved on last week i purchased the chewy on the go bars sunbutter crunch the taste was good what more do i deserve however it was a marketing triumph four dollars and forty nine cents for diminutive bars at least compared to the packaging the bars are about two thirds the size of the foil wrap they come in add in the dead space in the box and you got what used to be referred to as a rip off in a health food store no one can hear you scream ,0
i wake up craving these bars so delicious not too sweet but enough to satisfy a sweet craving without raising your blood sugars they are great for road trips or hiking or when i am home i refrigerate them which makes them crunchie the goji berry flavor is also divine enjoy ,1
i have been buying farmer is market organic butternut squash at my local supermarket for the past year it was not always available when i shopped there so finding it on amazon com was a great find for me this is probably the best butternut squash i have eaten and it is well worth every penny which by the way comes out to far less pennies at amazon than at my local supermarket ,1
i have tried all the organic dark chocolates out there and green and black is by far the best most consistent bar it is really really good ,1
i am nay used to be known as the master of the perfect s amore that perfect golden brown marshmallow blown up to the size of a baseball ok i will admit toasting a marshmallow to gargantuan proportions is not often possible many factors must be present and the stars must be in alignment i think the most important thing is to use properly stale marshmallows much like searing a piece of meat on the bbq but i digress now giant marshmallows have arrived and s amores will never be the same anyone can make giant toasted marshmallows without years of practice honed skills and intense concentration it just is not fair but i am not bitter i embrace the improvement of the ultimate s amore marshmallow for all to enjoy like prince is oversize tennis racket of the early is and callaway is big bertha drivers of the is campfire has now changed the sport ,1
i do not much care for rice white rice tastes like paste and brown rice tastes like nothing i cook it frequently only because my family loves it this black rice is really good though i add a little olive oil and salt and the result is the best rice i have ever had ,1
worked out perfectly for the candy bar at my wedding great size resealable bag works well arrived perfectly fresh good crowd pleaser ,1
great product i am supplementing this along with breast milk as i continue to nurse and it is the only formula that does not cause my baby to get constipated he used to scream when he pooped and now i have a much happier baby so we are all happier i can not find this in any store so i am so glad that amazon carries this product ,1
i really tried to like these i do not even remember ordering them on line as they are in my local supermarket first you have to get over the fishy smell when you open them even after rinising well they smell and then they are mushy i have tried them several ways and to me i would rather just eat a smaller portion of pasta as these do not satisfy at all ,0
great product at a great price especially with free prime shipping a much better price than anyone locally ,1
i know this is people food and i will use some in cooking but i bought this for repelling some insects in my organic garden cayenne works fine for this and i have never seen it at a better price i have mixed it with diatomaceous earth and sprinkled it on the soil i have also made a pepper tea with a drop of dish soap to help it stick cooled and strained i have used it as a spray ,1
one word classic my husband wont eat any other brand as they dont compare these are perfection in a bag it seems there is less salt than a few years ago which is fantastic but they still taste delish ,1
i give them out as a gift you can not beet them all there candy is the greatest ,1
i just received it friday lbs is a hell of a lot of coffee but worth it at this price with subscribe and save at first i did not like the way it smelled not used to dark roast but it tastes amazing also dark roast has a little less caffeine than a lighter roast like colombian because it is cooked longer fyi this is darn good coffee highly recommended ,1
these are the best bags ever but the company needs to seriously get to work on adding some neutral colors and designs i would buy them for everyone i know but not pink with gold peace signs i have had a set of these bags i got from amazon a long while ago when the maker was still producing other designs mine are black with green leaves on them they are the best reusable bags out there they hold a ton of stuff they will easily hold more than a dozen large dog food cans or three soda bottles you can tie and untie the straps together very easily the straps are long enough to comfortably carry the bags on your shoulder there is a little loop on them so they will hook to the plastic bag rack at the grocery store so they can be filled easily the sewn on velcro straps are fantastic way way better than dealing with fussy little pouches the alternatives come in they roll back up in seconds and the velcro straps hold them into tiny little bundles they are lightweight i carry them with me everywhere i go and use them for all of my shopping they hold up really well and are easy to clean in the washer and dryer i just toss them in with everything else i have washed them over and over and over and they are still strong and in great shape every time i pull them out of my purse everyone comments on them and asks where i got them i always say i got them at amazon but there is something wrong with the manufacturer because they have only had these funky pink peace sign designs available for a really long time if you are not bothered by pink peace signs you will love these bags i also got the little white mesh draw string bags amazon features as the buy together and they are great too i use them for produce and lunch bags ,1
i started my little vizsla on this food a couple months ago and have observed some fantastic results i originally had her on blue buffalo she did not care for the food at all which resulted in me adding wet food and other temptations to coax her to eat since switching to this brand i have have not had to tempt her to eat one time she loves this dog food her coat is super shiny and there is a noteable difference in her stools you can not beat the quality price of this brand i think the name is incredibly embarrasing but i am quick to recommend this brand to anyone that asks ,1
